zypper	waybar	waybar
zypper	wayfire	wayfire
zypper	wayland-protocols	wayland-protocols-devel
zypper	wayland	wayland-devel
zypper	wireplumber	wireplumber
zypper	wl-clipboard	wl-clipboard
zypper	wlroots	wlroots-0_19-devel
zypper	wofi	wofi
zypper	xclip	xclip
zypper	xft	libXft-devel
zypper	xinerama	libXinerama-devel
zypper	xlib	libX11-devel
zypper	xmonad	xmonad
zypper	xorg-xrandr	xrandr
zypper	xsetroot	xsetroot
zypper	xterm	xterm
zypper	yambar	yambar
